"...1","screenName","text","created","statusSource","Created_At_Round","tweetSource","date","hour"
619,"ThisIsHKim","there are no words for loss, just unimaginable heartbreak. itaewon",2022-10-30 22:19:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-30 22:00:00,"others",2022-10-30 22:19:59,22
620,"btsxuru","itaewon class, mudanzas al cielo, vincenzo, our beloved summer, la abogada woo.",2022-10-30 22:19:40,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:19:40,22
621,"LadyPolitiks","what went down in itaewon, korea last night (and ongoing today)...idk what to say. heart is breaking for the unspea",2022-10-30 22:19:36,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:19:36,22
622,"chamomishtea","my heart goes out to everyone affected by what happened in itaewon. rest in peace to all the victims &lt;/3",2022-10-30 22:19:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:19:31,22
623,"millieally","devastating condolences for the lives lost and families grieving , much love and get well wishes for those inju",2022-10-30 22:19:29,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",2022-10-30 22:00:00,"ipad",2022-10-30 22:19:29,22
624,"annacaramelll","tweets of random people posting about missing people from the itaewon incident still are still popping on my twt fe",2022-10-30 22:19:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:19:10,22
625,"ROKreport","(14th ld) at least 153 killed, 133 injured in halloween stampede in seoul's itaewon",2022-10-30 22:19:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-30 22:00:00,"others",2022-10-30 22:19:04,22
626,"kojo_appau","big love to itaewon be strong y'all",2022-10-30 22:19:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:19:00,22
627,"arike_O2","the situation in itaewon is so heartbreaking. my deepest condolences to the families of the deceased and injured. i",2022-10-30 22:18:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:18:56,22
628,"everythingoes99","he choked up especially talking about the beautiful young girl in the princess gown. but",2022-10-30 22:18:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:18:53,22
